SerialNumber,Red,Green,Blue,Date,Label
145,1.9715,2.511,5.1176,,Original
145,2.6996,3.4454,8.267,2016-Apr-21,PreIRCorrection
145,2.3951,2.9816,6.7431,2016-Apr-26,PostIRCorrection
146,1.9702,2.5913,5.0723,,Original
146,2.1662,2.819,6.1455,2016-Apr-21,PreIRCorrection
146,2.2165,2.8074,6.1618,2016-Apr-26,PostIRCorrection
147,1.8198,2.4833,4.6745,,Original
147,2.1858,2.8749,6.0894,2016-Jun-16,PreIRCorrection
147,2.2518,2.9258,6.2671,2016-Jun-21,PostIRCorrection
148,1.9702,2.7091,4.9667,,Original
148,2.3546,3.221,6.6215,2016-Apr-23,PreIRCorrection
148,2.3171,3.1214,6.2498,2016-Apr-27,PostIRCorrection
149,1.8921,2.5913,4.9667,,Original
149,2.2763,3.0497,6.3306,2016-Apr-21,PreIRCorrection
149,2.2891,3.0151,6.1414,2016-Apr-26,PostIRCorrection
150,1.8826,2.5095,4.773,,Original
150,2.5195,3.4263,6.6718,2016-Jun-16,PreIRCorrection
150,2.2537,2.9516,5.7127,2016-Jun-23,PostIRCorrection
151,1.9382,2.5913,5.1826,,Original
151,2.1768,2.7966,6.434,2016-Apr-21,PreIRCorrection
151,2.0928,2.6682,5.8905,2016-Apr-26,PostIRCorrection
152,1.9712,2.6489,4.9606,,Original
152,,,,,
152,,,,,
153,1.9867,2.7091,5.1826,,Original
153,2.8244,4.2136,7.4278,2016-Apr-21,PreIRCorrection
153,2.6251,3.8682,6.3799,2016-Apr-26,PostIRCorrection
154,1.9051,2.5842,4.9245,,Original
154,2.259,3.0439,6.1809,2016-Apr-21,PreIRCorrection
154,2.3148,3.0849,6.1698,2016-Apr-26,PostIRCorrection
155,2.073,2.7614,5.2978,,Original
155,2.4278,3.1929,6.9992,2016-Apr-21,PreIRCorrection
155,2.4171,3.0892,6.7245,2016-Apr-26,PostIRCorrection
156,1.7529,2.3146,4.4148,,Original
156,2.4737,3.1208,6.9093,2016-Jun-16,PreIRCorrection
156,2.4932,3.0916,6.9238,2016-Jun-23,PostIRCorrection
157,1.9867,2.8381,4.8653,,Original
157,2.292,3.2043,6.2488,2016-Apr-21,PreIRCorrection
157,2.2171,3.0858,5.903,2016-Apr-26,PostIRCorrection
158,1.7791,2.3401,4.5141,,Original
158,2.0051,2.6028,5.1121,2016-Apr-21,PreIRCorrection
158,2.1398,2.7581,5.5161,2016-Apr-26,PostIRCorrection
159,1.7659,2.3604,4.4148,,Original
159,2.3313,3.0557,6.0002,2016-Apr-21,PreIRCorrection
159,2.2495,2.9347,5.8386,2016-Apr-26,PostIRCorrection
160,1.7791,2.4081,4.4148,,Original
160,2.8507,3.7259,8.0244,2016-Jun-16,PreIRCorrection
160,2.6024,3.9728,6.6724,2016-Jun-21,PostIRCorrection
161,2.1393,2.837,5.5434,,Original
161,2.228,2.9288,6.2212,2016-Apr-21,PreIRCorrection
161,2.0857,2.6887,5.5771,2016-Apr-26,PostIRCorrection
162,1.9226,2.5913,5.2978,,Original
162,2.3885,2.9541,6.9467,2016-Apr-21,PreIRCorrection
162,2.4197,3.0671,6.8814,2016-Apr-26,PostIRCorrection
163,1.9226,2.5634,4.8653,,Original
163,2.2764,3.0486,6.7308,2016-Apr-21,PreIRCorrection
163,2.0702,2.6523,5.5869,2016-Apr-26,PostIRCorrection
164,1.956,2.5362,5.1826,,Original
164,2.7259,3.4458,9.0566,2016-Apr-21,PreIRCorrection
